KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -14.365966, -42.072361
002CID10509, C1H0N4O8F0, 18.660903, -10.535515
003CID15311932, C1H0N6O6F0, 78.671698, 48.680852
004CID20120, C2H6N2O2F0, 4.185417, -48.653137
005CID14344427, C2H3N5O4F0, 60.498297, 14.980968
006CID61232, C2H0N6O12F0, 26.605775, -19.733906
007CID4510, C3H5N3O9F0, -64.137226, -132.629867
008CID26368, C3H6N6O3F0, 96.694635, 27.891691
009CID8490, C3H6N6O6F0, 53.654382, -23.608620
010CID8819, C4H8N4O2F0, 55.222317, -22.950949
011CID20124, C4H8N4O4F0, 22.740412, -61.098204
012CID140617, C4H4N8O14F0, 23.539288, -66.035590
013CID7416, C6H5N1O2F0, 18.409919, -40.320498
014CID6947, C6H5N1O3F0, -15.133142, -75.987463
015CID11137, C6H5N1O3F0, -20.739772, -81.584052
016CID980, C6H5N1O3F0, -22.255054, -83.186558
017CID7423, C6H6N2O2F0, 19.875862, -47.900178
018CID7475, C6H6N2O2F0, 18.082872, -49.714503
019CID69319, C6H5N3O0F0, 96.306517, 37.301878
020CID137049, C6H4N4O2F0, 89.429577, 29.354720
021CID141415, C6H10N6O10F0, -15.989174, -136.804015
022CID7473, C7H7N1O2F0, 12.873153, -61.650752
023CID8461, C7H6N2O4F0, 10.947307, -64.631128
024CID12152, C7H7N3O0F0, 98.883229, 23.684751
025CID13330261, C7H15N3O0F0, 48.354069, -76.061674
026CID8376, C7H5N3O6F0, 12.887672, -63.571474
027CID145163, C10H14N2O4F0, -14.897763, -153.465290
028CID357114, C10H15N3O0F0, 64.436450, -73.412890
029CID577098, C9H11N3O0F0, 88.095571, -18.798443
030CID5462985, C14H6N6O12F0, 64.253395, -65.340463
031CID12231, C1H3N1O2F0, -10.568517, -37.434678
032CID11724, C1H3N1O3F0, -26.074659, -55.916253
033CID61172, C1H2N2O4F0, -8.938012, -37.697056
034CID8026, C2H5N1O2F0, -15.791513, -58.739188
035CID12259, C2H5N1O3F0, -31.169953, -77.091807
036CID10979, C3H7N1O2F0, -17.707267, -76.832468
037CID164756, C4H9N1O3F0, -39.707225, -116.983878
038CID10996, C4H9N1O2F0, -19.903766, -95.159428
039CID11672, C4H9N1O2F0, -28.826254, -104.243186
040CID143467, C4H4N4O7F0, 8.136732, -55.855713
041CID23506, C5H10N2O2F0, 3.918800, -85.923768
042CID11473, C6H5N1O1F0, 52.069043, -3.645780
043CID69321, C7H7N1O2F0, 15.792079, -59.234461
044CID136409, C7H6N2O4F0, 18.592035, -57.195361
045CID6672, C8H9N1O2F0, 11.432544, -79.043610
046CID297, C1H4N0O0F0, -13.013387, -38.831920
047CID222, C0H3N1O0F0, -5.540440, -25.027774
048CID962, C0H2N0O1F0, -50.410264, -62.696636
049CID6326, C2H2N0O0F0, 57.631366, 41.389460
050CID6325, C2H4N0O0F0, 17.725249, -11.643480
051CID6324, C2H6N0O0F0, -12.633507, -54.987244
052CID768, C1H1N1O0F0, 31.715868, 21.736134
053CID281, C1H0N0O1F0, -24.503156, -28.372539
054CID712, C1H2N0O1F0, -22.954846, -38.488328
055CID887, C1H4N0O1F0, -40.262867, -69.149705
056CID947, C0H0N2O0F0, -.375381, -3.801149
057CID9321, C0H4N2O0F0, 29.497784, .182951
058CID784, C0H2N0O2F0, -24.436896, -39.066172
059CID280, C1H0N0O2F0, -94.558456, -101.589014
060CID948, C0H0N2O1F0, 15.126653, 9.091918
061CID24823, C0H0N0O3F0, 36.424693, 32.568043
062CID6335, C3H4N0O0F0, 49.306975, 16.831069
063CID10037, C3H4N0O0F0, 49.707684, 17.525452
064CID123173, C3H4N0O0F0, 73.764950, 41.375640
065CID8252, C3H6N0O0F0, 12.614091, -32.843057
066CID6351, C3H6N0O0F0, 21.379232, -24.627614
067CID6334, C3H8N0O0F0, -14.620323, -73.085069
068CID7845, C4H6N0O0F0, 34.299419, -14.582424
069CID10419, C4H6N0O0F0, 42.463452, -6.584053
070CID80245, C4H6N0O0F0, 54.134905, 5.467042
071CID135973, C4H6N0O0F0, 63.432553, 14.304098
072CID69972, C4H6N0O0F0, 48.116583, -1.122941
073CID9250, C4H8N0O0F0, 18.429479, -44.022211
074CID8255, C4H8N0O0F0, 6.857636, -54.554269
075CID7843, C4H10N0O0F0, -16.627049, -91.222256
076CID6360, C4H10N0O0F0, -18.211288, -92.511566
077CID9088, C5H8N0O0F0, 55.782290, -9.411991
078CID241, C6H6N0O0F0, 25.575467, -32.015079
079CID6329, C1H5N1O0F0, 2.015473, -33.862737
080CID6342, C2H3N1O0F0, 20.318884, -5.940029
081CID284, C1H2N0O2F0, -85.547669, -104.571142
082CID7865, C2H4N0O2F0, -79.189823, -114.343757
083CID178, C2H5N1O1F0, -49.385402, -90.869943
084CID9033, C2H5N1O0F0, 37.822127, -1.451914
085CID9999, C2H0N2O0F0, 70.565233, 60.080486
086CID674, C2H7N1O0F0, 5.196181, -46.588470
087CID6341, C2H7N1O0F0, -1.919669, -53.861826
088CID10038, C2H2N0O1F0, -10.312996, -29.023935
089CID6354, C2H4N0O1F0, -5.397148, -37.723741
090CID177, C2H4N0O1F0, -33.901642, -65.590686
091CID7860, C2H2N0O2F0, -46.870723, -68.294169
092CID702, C2H6N0O1F0, -45.427643, -90.384073
093CID8254, C2H6N0O1F0, -35.021414, -79.974079
094CID7855, C3H3N1O0F0, 47.339627, 17.703082
095CID180, C3H6N0O1F0, -43.050805, -90.769281
096CID176, C2H4N0O2F0, -95.075394, -129.960127
097CID3776, C3H8N0O1F0, -51.265006, -111.955938
098CID10903, C3H8N0O1F0, -40.236688, -101.236983
099CID1146, C3H9N1O0F0, 5.698531, -61.733398
100CID8029, C4H4N0O1F0, -1.873334, -41.769072
101CID8027, C4H5N1O0F0, 31.736891, -14.956320
102CID1049, C5H5N1O0F0, 37.007197, -13.542436
103CID783, C0H2N0O0F0, 2.117892, -4.148369
